,AU,C,CU,IF,M,RB,SC,TA
2018-04-16,-0.35138812506318085,0.4040366964914741,-0.2932522800015627,-0.3172212754324528,-0.543437467877892,0.11141148841139202,-0.17149352004585025,-0.12908480155806368
2018-04-17,-0.3464828910100823,0.41503259331453146,-0.28981887965437286,-0.32871435567836294,-0.5085053931678262,0.10453798910843164,-0.17317083519109103,-0.12938149626872283
2018-04-18,-0.3626346240644387,0.4363105014078739,-0.30399888643383927,-0.3571824967783068,-0.5450665537721016,0.10955055528275086,-0.1809189274567991,0.0
2018-04-19,-0.36328537375903686,0.41793796786384035,-0.3006081395522091,-0.30844625301203776,-0.5308461995125517,0.10677659378967769,-0.17290012340667418,0.0
2018-04-20,-0.3552071071137945,0.42074829139901737,-0.2819480815931943,-0.31512287273641437,-0.4755162291829876,0.10681705082713065,-0.16591713363852192,0.0
2018-04-23,-0.34753901159731726,0.4128221755981058,-0.29368465183338854,-0.30076765090307545,-0.4178034184291696,0.10439205100086361,-0.15237876493218158,0.0
2018-04-24,-0.2817811317513742,0.41146707816989053,-0.2896870133122444,-0.31867544622809585,-0.37376690996166245,0.1102674642484334,-0.1549452056005247,0.0
2018-04-25,-0.2773432214259944,0.40520426265890147,-0.2838213291616567,-0.31090558428868287,-0.38440615573215775,0.10647736451490594,-0.1522753244585175,0.0
2018-04-26,-0.27554875100825593,0.40139762000690116,-0.2744078740539289,-0.2773618568335735,-0.35999535855179093,0.10252934388470306,-0.14427347751704803,0.0
2018-04-27,-0.2693136263254643,0.40160159547548097,-0.28737476108411814,-0.2689227286038708,-0.3534914172201499,0.10029279699872536,-0.1486997985391535,0.0
2018-04-30,-0.3327768785353615,0.5056250614719566,-0.3571464929809774,-0.32706475379871847,0.0,0.12082398693049293,-0.17752101403086196,0.0
2018-05-01,-0.30044570696494727,0.4569343496806874,-0.3175570358897315,-0.2798285731166111,0.0,0.10723702633754499,-0.15752884853990304,0.1721155252216712
2018-05-02,-0.2984045338244096,0.4622961139643633,-0.28931588042267836,-0.2716416278041507,0.0,0.10524057936097561,-0.15739401382175902,0.18873177442571712
2018-05-03,-0.30116532220981695,0.4793806269906134,-0.26563199886718974,-0.2636197767364227,0.0,0.12338517664658767,-0.1480051859713343,0.19035879769605735
2018-05-04,-0.32857796992923455,0.5039782325075576,-0.27519039993233835,-0.29938889814280967,0.0,0.0,-0.17782253102331722,0.2205569568267183
2018-05-07,-0.2944847886042816,0.43641380638737676,-0.24439145564539547,-0.264433910919906,0.0,-0.12350831318336983,-0.13759190054807122,0.2107828898388112
2018-05-08,0.0,0.41299107291126497,-0.2322491841722659,-0.23813400856730674,-0.2924941829671543,-0.1204364372611917,-0.13567998714028248,0.23568142177006626
2018-05-09,0.0,0.44589446410083794,-0.2255411763472611,-0.23312342579860448,-0.28650450467444966,-0.12085206363274258,-0.13512102396734693,0.23124658370733975
2018-05-10,0.0,0.4430670662139113,-0.22358367400783086,-0.24704238717103902,-0.28560632134699393,-0.1285795000264996,-0.13405293306751476,0.22529143855091494
2018-05-11,0.0,0.0,0.0,-0.3757454513732909,-0.36358597717933094,-0.20888379010015476,-0.22743597687465042,0.3288819290475639
2018-05-14,0.0,-0.5966318465871937,0.0,-0.25339075180907167,-0.253830681262009,-0.1457640353114,-0.15480758952308094,0.21100420385514662
2018-05-15,0.26843937836433335,-0.47301317833837564,0.0,-0.2117476290797168,-0.212936617045615,-0.13327697973269012,-0.1301927183146688,0.18364336005877477
2018-05-16,0.2686695835767653,-0.46886682597110396,0.0,-0.20509550262622026,-0.2114977525306727,-0.12496418933552253,-0.129242126550049,0.19499444290367127
2018-05-17,0.26827581322779415,-0.4887319383206571,0.0,-0.18507113897637162,-0.20053766234474754,-0.12384423689478008,-0.12036167909785832,0.17679195359686325
2018-05-18,0.27469828675150326,-0.4914967418723005,0.0,-0.15181910344006194,-0.2051522478529023,-0.12519555700409987,-0.12092780237518937,0.1768063679167525
2018-05-21,0.27352762368843536,-0.47625731976864316,0.0,-0.15403512990135143,-0.21434979147472535,-0.12724612038452507,-0.13531207583285396,0.17355913100074524
2018-05-22,0.3943798634913826,-0.5201572433467805,0.0,-0.16488449663376656,0.0,-0.136939081727852,-0.1538064604622123,0.18515432971425858
2018-05-23,0.352965609288676,-0.44004225234050737,0.0,-0.13505553622911562,0.19986909258569757,-0.12848645620367283,-0.13704708704507704,0.16781081986021368
2018-05-24,0.36987661442671027,-0.4340784982450134,0.0,-0.13638264580834103,0.19830086110455103,-0.12798711073448982,-0.129625648255481,0.16508804871182348
2018-05-25,0.39923105876796494,-0.38402712276656825,0.0,-0.13815648667216132,0.19867361059399802,-0.1430214080666766,-0.12388051056595724,0.16376012299138046
2018-05-28,0.3924350082431609,-0.37545850663863745,0.0,-0.13540698565663473,0.21404109347319095,-0.1449649115746408,-0.12210244730887741,0.16765177189850014
2018-05-29,0.41358580925704774,-0.35171422378833883,0.0,-0.13617940212645085,0.22337733194208353,-0.14880807127752352,-0.11781350805135078,0.16152383083482214
2018-05-30,0.4078764336162804,-0.35378800143061206,0.0,-0.13687145989729332,0.22926689344477819,-0.16041443570797784,-0.11618082769628219,0.160885184388178
2018-05-31,0.40074207259079014,-0.3567968154528678,0.0,-0.13601815788120789,0.2320438893551768,-0.1685014630304605,-0.12677689600110542,0.1454560776146933
2018-06-01,0.38994734700573563,-0.35216444601282915,0.0,-0.13413602472753097,0.1949855890200835,-0.18552111444754232,-0.12581036163547035,0.1347424144974268
2018-06-04,0.31893043977904106,-0.39163175077712276,0.0,-0.13910762239288763,0.19739279935953308,-0.18952254039140645,-0.14317432979624087,0.13301841618951615
2018-06-05,-0.3192711479001884,-0.3551535396526493,0.0,-0.1438364635366382,0.1905451987885763,-0.19337018710174989,-0.12410587626553962,0.13253432182591376
2018-06-06,-0.4110965223291676,0.0,0.0,-0.17978503481832578,0.24151861971136646,-0.2784250782979678,-0.16929901610474962,0.17306305012139184
2018-06-07,-0.40729511589472567,0.0,0.0,-0.17796924897611227,0.21032612955500268,-0.28357457900145655,-0.1721761348411463,0.16668710418396118
2018-06-08,-0.4180138232637171,0.0,0.0,-0.18151612908744788,0.2036541426034284,-0.2914230250567124,-0.17098551357541975,0.17575713914553356
2018-06-11,-0.31888035905356643,0.33348800711792637,0.0,-0.1331766109748635,0.15313421319274886,-0.2204123729623509,-0.12831949846773932,0.124211950880306
2018-06-12,-0.31611505704235837,0.3551504604579553,0.0,-0.13173752694539043,0.14819024426013516,-0.2157806594213391,-0.12160360370445514,0.12234125010820897
2018-06-13,-0.31571226877573155,0.3162440429040194,0.0,-0.1277506014924357,0.14052426855186934,-0.23146139797710133,-0.12206148335430447,0.11882527159484618
2018-06-14,-0.34058351694809375,0.29809750423679665,0.0,-0.12920912631559106,0.13036644744414824,-0.22390007550240815,-0.11045121427321429,0.11319897742752112
2018-06-15,-0.3357331386004026,0.2877839175151205,0.0,-0.15708050460770887,0.12837237730506754,-0.21910416073896624,-0.10658485270364672,0.10654559354815124
2018-06-18,-0.28013615521623914,0.2345679313240642,0.23848888997631365,-0.13397254096676584,0.10663402494269321,-0.17274984240085645,-0.08944732858807487,0.08543080989867673
2018-06-19,-0.2797588987010882,0.23378965954718098,0.2407736604784785,-0.13219114316056305,0.10525524705509588,-0.1713298165685421,-0.08639503652124947,0.0831149244807193
2018-06-20,-0.2925121151654363,0.21712796619153046,0.2579719569847833,-0.13416051204579038,0.10750620259176243,-0.1493092830558384,-0.08455650337696294,0.08666866526611883
2018-06-21,-0.29326558481716763,0.21957757728024113,0.25564403291010707,-0.13705101745380469,0.10903851551090767,-0.15329288483445452,0.08406183603707655,0.08926478527485425
2018-06-22,-0.2875899908208517,0.23873469836589128,0.25391900301137793,-0.13353304149260825,0.10546605243592576,-0.14578555049026473,0.08697766714563628,0.08897736882812199
2018-06-25,-0.2891581695080967,0.24420905271207746,0.2426913877236113,-0.1355530391088466,0.1073885375832554,-0.1506050071148082,0.08472330522416428,0.08848976643075855
2018-06-26,-0.29764201111314353,0.22884816496829888,0.23850533945948288,-0.13482225504404463,0.1085658737855115,-0.13457698219584235,0.08126781326465819,0.08814270598743493
2018-06-27,-0.2904075033285127,0.23525301535375578,0.24420099830640837,-0.13633921272914978,0.1107207808193606,-0.1291878361602738,0.08180496050702848,0.08913993819289528
2018-06-28,-0.28474407327496865,0.22378757415116637,0.24205522821925538,-0.1447432236553294,0.11441084150794581,-0.12298510151791989,0.08549556347258482,0.09885607566863178
2018-06-29,-0.2737204168670755,0.21998495897509227,0.244243174360093,-0.14630741199734773,0.11972886661204174,-0.12260220513059755,0.08739835632041222,0.09313899089769205
2018-07-02,-0.32878660422998857,0.20794934881789492,0.2271219129218614,-0.13666905145100205,0.11695467695529181,-0.1146941127544142,0.07988617548597439,0.09244098909588971
2018-07-03,-0.3251607932206893,0.21851035358636225,0.22025942895753328,-0.13812632202319783,0.11617434073289479,-0.10678451031200746,0.08763967772494291,0.09201869730194095
2018-07-04,-0.2997071175384358,0.21758606253761123,0.22711912200343054,-0.15976866505001341,0.11877125594918778,-0.1125933599756198,0.08789707287907328,0.09698539812967029
2018-07-05,-0.32288418489327136,0.21969932081684154,0.18343257215052977,-0.15976176179014057,0.12786444927186943,-0.11626619357577384,0.08588290797326782,0.10469424349467028
2018-07-06,-0.3187030325080852,0.21961777559129353,0.18663068210930767,-0.15320962195035845,0.14384711563869698,-0.11399883637319555,0.08703682329803196,0.10174599151216446
2018-07-09,-0.2957331113356088,0.2252505348692344,0.19259661287383986,-0.16755963594882164,0.14071632545542986,-0.11214706169949484,0.08690882340474536,0.10643764517673912
2018-07-10,-0.2822343781219492,0.22560540633477513,0.20271183413881394,-0.15790433123153527,0.14685507223354294,-0.10660912086001634,0.09430051070051432,0.10952379383337321
2018-07-11,-0.25768071230308626,0.23897396047146197,0.19597095216844776,-0.1602449019176805,0.15135591913111004,0.11471107657670095,0.09341233314953155,0.10874985233734294
2018-07-12,-0.25816326766620157,0.2376003953612207,0.1930785455078744,-0.1611223813828091,0.1592403148914975,0.11423864136512962,0.0950541582319841,0.110583054714199
2018-07-13,-0.2548525254174868,0.2395415277763022,0.18916929394088217,-0.16772565630391228,0.15941703654771078,0.11222725078620965,0.09638940456059629,0.11380695737820355
2018-07-16,-0.2637453111534425,0.23743234155651002,0.19144752416697436,-0.1719312871737044,0.16508194204903626,0.1073899074047625,0.09722094942612913,0.12502190835757385
2018-07-17,-0.26131012212206406,0.23799481707964007,0.18277723217839983,-0.17829343268206022,0.17751978949261257,0.10765746726623912,0.1014348815315368,0.13309670676468072
2018-07-18,0.0,0.2814351187451677,0.1995522216434413,-0.22757494865029113,0.23534181311448132,0.12581076590088347,0.11485944953576101,0.14035894042778932
2018-07-19,0.0,0.29087904166549494,0.2001942392047419,-0.22563249994296933,0.23590446809471557,0.12717066883543485,0.12247190098714346,0.14344535383122772
2018-07-20,0.0,0.34343261308941686,0.24558555834987936,-0.27597151192579167,0.0,0.15783775178940967,0.14461832150631024,0.17516805120981913
2018-07-23,0.0,0.26154336487635726,0.20154923086330348,-0.21521264120142442,-0.21377205554808992,0.13009777355020877,0.12421965243720601,0.14687207361437218
2018-07-24,0.0,0.25965712448231687,0.19121608021764602,-0.2148091688717267,-0.21100172911876755,0.14305442720822967,0.1306718313592591,0.1471053627531248
2018-07-25,0.0,0.2633304414384881,0.1943073879627874,-0.2058724522449264,-0.21428973848945082,0.14696220793486975,0.13467093573013073,0.14171904667254837
2018-07-26,0.0,0.3212502207867317,0.2242917394560613,0.0,-0.23235225607112675,0.1734065947568238,0.1518233540037458,0.16541317914817463
2018-07-27,0.0,0.30476336478333316,0.20638268831274317,0.0,-0.2802489841600713,0.1625900602327711,0.14242854723010442,0.1718369458122251
2018-07-30,0.0,0.3151354264283692,0.21414499320018626,0.0,-0.28683947077985794,0.16787241135182615,0.15072567157601752,0.1751180352860177
2018-07-31,0.0,0.27846984007807835,0.17340179489574647,0.16681699590954838,-0.24385226837358615,0.15874050675348536,0.12195052452786562,0.16368369110430603
2018-08-01,0.0,0.294898784393987,0.1731066957392573,0.16687085625886536,-0.2508490701609613,0.12662035602250896,0.12865624807484796,0.15893532058998844
2018-08-02,0.0,0.2938289629124197,0.19966525994605236,0.16526053888284511,-0.24037858844036974,0.12115966997900869,0.12899877943631718,0.14964556106099391
2018-08-03,0.0,0.31546739560203557,0.2082016901060669,0.18022446545344994,-0.2221011759755153,0.11898913361351765,0.13450285853023494,0.14831120842706821
2018-08-06,0.0,0.31732060466898115,0.21684640688511592,0.17287721372446802,-0.22619711487678146,0.11820618159734894,0.1365419101265731,0.16246405695358035
2018-08-07,-0.24569209563875863,0.26869949006644844,0.16744173315350533,0.1451928829351576,-0.18573837102465446,0.10527760275564335,0.11040514173064893,0.1305584358549163
2018-08-08,-0.2799475829037469,0.2615531674768093,0.16996170397924287,0.1455494998255871,-0.16422512033281378,0.10779431256918494,0.10383983829441992,0.13189687200748673
2018-08-09,-0.26775093173781944,0.26761967675360726,0.1706407889935972,0.14645778873769869,-0.1642824355636255,0.10822586957742276,0.10660974776923628,0.13311594987012956
2018-08-10,-0.2714380341472667,0.23470758031189415,0.1665404811677764,0.14770042529747285,-0.16490628734236565,0.10822217811595117,0.10808688722315173,0.1394224999742842
2018-08-13,-0.27082005524707414,0.23039439310089757,0.1677389796653349,0.1526947594376346,-0.15404853637419347,0.11576442447490748,0.10282364844262692,0.14589789989076515
2018-08-14,-0.2830544548219886,0.22739746030734226,0.17018418763868637,0.1459245012777737,-0.15284777055131932,0.1157171486394621,0.1021773738152229,0.1393659851087038
2018-08-15,-0.2832224701027271,0.23992438548317432,0.16532425405638518,0.14682480031710854,-0.12202071913663877,0.11699982010041013,-0.1074347535690126,0.14950031324991353
2018-08-16,-0.3026804402470396,0.2367147994258452,0.16350118933383986,0.14695529358258766,-0.11925423705580092,0.11720524799942494,-0.09731295641522797,0.14661381527159853
2018-08-17,-0.35369225825716444,0.23545216965327662,0.1552528306074343,0.1264281856032378,-0.11838089845825966,0.09655025252396314,-0.0936289522562153,0.1392376763922031
2018-08-20,-0.34724723551879333,0.2187446344076874,0.16488804182631223,0.1352013334807936,-0.11612928566409396,0.10004659455676801,-0.09336177308864957,0.1410957134837818
2018-08-21,-0.3520858380665898,0.22448106984676874,0.16287409153028565,0.13243058260261437,-0.11424559503440986,0.09937840641991304,-0.09086060777579907,0.14038200784978896
2018-08-22,-0.35301745707160903,0.21871550626745195,0.15651827549543879,0.13044111156574947,-0.11355528661492349,0.09494260693749147,-0.08770592967821893,0.1626995605766653
2018-08-23,-0.36682849883874863,0.21136748045841575,0.158185128584462,0.1333750982623098,-0.11652517880880188,0.09328781752882116,-0.08510881182865149,0.16516939169089026
2018-08-24,-0.37970823786998986,0.21472002608553076,0.16037629503393788,0.14220789561850372,-0.11325843309077563,0.09338442313132629,-0.08557668041310246,0.16602627499876163
2018-08-27,-0.38234869307937963,0.21406601388951113,0.15205867461016834,0.15823285792628858,-0.11232995590230954,0.09288462200727715,-0.09029008129521335,0.14465448485110025
2018-08-28,-0.35658915657217405,0.21316343048643782,0.17453352873592254,0.16062502806224227,-0.1180131283358207,0.0911969402331144,-0.10122082823857848,0.1443169085097712
2018-08-29,-0.3646196218965153,0.207128588265041,0.16263425915745008,0.15579470841235757,-0.10993312741693853,0.10207888556520692,-0.09808174894441553,0.13670032183418787
2018-08-30,-0.3425115661428678,0.21551260652966606,0.16701749558313655,0.1789751570825268,-0.11365084376634986,0.10464540626040439,-0.10296390866032051,0.14419299359845925
2018-08-31,-0.3290424726536331,0.21286514666170378,0.16505969972143159,0.17928135735385511,-0.1100395345668075,0.11480897081181092,-0.10180481278175775,0.1629665997909108
2018-09-03,-0.3325908614315641,0.2157912647810326,0.17264139125725092,0.18057608250929286,-0.11307834867240442,0.12191157075324337,-0.1075369131188013,0.16438629917612604
2018-09-04,-0.32722557195516094,0.22254156997513605,0.17904352616189168,0.18435104731002375,-0.10204344527328536,0.11808104342746453,-0.10845469878645193,0.1718142058566064
2018-09-05,-0.33961024768244136,0.23874471974772107,0.1833688852858928,0.17501818863320312,-0.10901783139339097,0.12092286519720157,-0.10530005374379418,0.17970590977855466
2018-09-06,-0.3766657390551651,0.24399888999769653,0.18503176987527314,0.17783503157077699,-0.11347853887042227,0.12288096844806433,-0.09871152237301573,0.15392876447569737
2018-09-07,-0.368977366808969,0.2683780327370371,0.21527018669343553,0.18362581350197676,-0.11785825965007825,0.12441691035106536,0.0,0.16573237182459483
2018-09-10,-0.3626006261743431,0.28375022103731756,0.2165575425900381,0.1813855900276559,-0.11617872734342082,0.12168131593230358,0.0,0.15691619096433157
2018-09-11,-0.37264763937741985,0.27940176308076964,0.21330883332844255,0.1941115488824332,-0.10572575021036185,0.11859133161480431,0.0,0.15807369076900482
2018-09-12,-0.36877464074082894,0.26657370782464884,0.22229014601196448,0.1937945578820511,0.1125533517748497,0.11675438576900893,0.0,0.1590087536565554
2018-09-13,-0.40492874160575587,0.2974548378300014,0.25112937231066246,0.22567726038933675,0.12968377974376233,0.1333124486912944,0.0,0.0
2018-09-14,-0.38758284316505914,0.28677647007491314,0.2430435679599871,0.24227251616969983,0.12647421421845503,0.15016783379506118,0.0,0.0
2018-09-17,-0.43383871050198924,0.28142475749908213,0.22984458823182863,0.22956881030639914,0.11788175278290516,0.14344872280880558,0.0,0.0
2018-09-18,-0.42020752639611664,0.3049903805258886,0.2579097543228212,0.19832047386942853,-0.12520613579393425,0.14988827738054983,0.0,0.0
2018-09-19,-0.41511149893432464,0.31661436582675406,0.24086471742398696,0.1953835536274069,-0.1302953508627508,0.15833666030685858,0.0,0.0
2018-09-20,-0.374023486993725,0.34294002034169235,0.25300595873350357,0.21117633161769708,-0.1383389830884617,0.15967117117511445,0.0,0.0
2018-09-21,-0.39284790084252125,0.31548828912617655,0.2642021258924529,0.22152181129475984,-0.14682934324675384,0.0,-0.14295428218974165,0.0
2018-09-24,-0.39146970305034323,0.28763451538189266,0.293433827360866,0.21051484552425026,-0.1471339691964013,0.0,-0.14202240640527422,0.0
2018-09-25,-0.3918646825328811,0.2984435690420435,0.27109767577457244,0.2150365927285957,-0.1464420387051139,0.0,-0.14200814137648704,0.0
2018-09-26,-0.4433546104844073,0.3176191978670841,0.32608817578490346,0.24206659076238526,0.0,0.0,-0.13152427306085457,0.0
2018-09-27,-0.5741459411044354,0.0,0.4206061884945895,0.29838243148557464,0.0,0.0,-0.16012151126179056,0.0
2018-09-28,-0.5809363247462922,0.0,0.4110359976659248,0.2973991112830464,0.0,0.0,-0.1605591815566769,0.0
